Text,Symptom
I have an intense urge to scratch my skin all over my body,itching
My skin feels like it's crawling with insects,itching
I've been waking up in the middle of the night because of how itchy I am,itching
I've noticed red bumps appearing all over my body that are really itchy,itching
I can't wear certain fabrics or use certain soaps because they make my skin itch even more,itching
I have a red bumpy rash on my arms and legs that won't go away,skin_rash
My skin is really dry and itchy and there's a rash forming around it,skin_rash
I have a rash that started on my chest and has now spread to other parts of my body,skin_rash
I noticed a rash on my skin that looks like small fluid-filled blisters,skin_rash
The rash on my skin is really painful and feels like a burning sensation,skin_rash
I have these bumps on my skin that feel like hard lumps,nodal_skin_eruptions
The skin on my arms and legs has small nodules that are really painful,nodal_skin_eruptions
I noticed raised red bumps on my skin that are really itchy,nodal_skin_eruptions
The nodules on my skin have grown in size and number over the past few weeks,nodal_skin_eruptions
The nodules on my skin are really sensitive to touch and are causing me a lot of discomfort,nodal_skin_eruptions
I can't stop sneezing it's like my nose is always itchy,continuous_sneezing
I've been sneezing non-stop for the past few days and it's really affecting my daily life,continuous_sneezing
Whenever I go outside or am exposed to allergens I start sneezing continuously,continuous_sneezing
I have a runny nose and sneeze a lot especially in the mornings,continuous_sneezing
My eyes are watery and itchy and I can't stop sneezing,continuous_sneezing
I can't stop shivering even though I'm wearing warm clothes,shivering
I feel like I have a fever because of how much I'm shivering and experiencing chills,shivering
I'm feeling really cold even though it's warm inside,shivering
My body temperature keeps fluctuating and I'm experiencing chills as a result,shivering
I've been shivering uncontrollably for the past hour and I can't seem to warm up,shivering
I'm experiencing sudden waves of intense coldness that make my entire body shiver,chills
I'm feeling really weak and shaky and I keep getting these intense bouts of chills,chills
The chills are making me feel nauseous and light-headed,chills
I feel like I can't get warm and the chills are getting more frequent and severe,chills
The chills are really uncomfortable and they're making me feel exhausted and drained,chills
My joints ache all the time and it's making it hard to move around,joint_pain
I feel really stiff and sore especially in my knees and shoulders,joint_pain
The joint pain is so bad that I can't even lift things or perform simple tasks without experiencing discomfort,joint_pain
The pain in my joints is throbbing and constant and I'm finding it hard to find any relief,joint_pain
The joint pain is affecting my mobility and causing me to feel frustrated and helpless,joint_pain
I have a sharp stabbing pain in my stomach that won't go away,stomach_pain
I feel really bloated and uncomfortable and the stomach pain is making it hard to eat or drink anything,stomach_pain
The stomach pain is accompanied by nausea and vomiting and I'm not sure what's causing it,stomach_pain
The pain in my stomach is cramping and persistent and it's making me feel anxious and worried,stomach_pain
I've been experiencing stomach pain for a while now and it's starting to interfere with my daily life,stomach_pain
I have a burning sensation in my chest and throat that feels like acid is rising up from my stomach,acidity
The acidity is causing me to feel nauseous and bloated and I'm having trouble digesting food,acidity
The acid reflux is making it hard to sleep at night and I'm constantly waking up with a sour taste in my mouth,acidity
The acidity is accompanied by stomach pain and discomfort and it's making me feel really anxious and frustrated,acidity
I've tried taking antacids but they don't seem to be providing any relief from the acidity,acidity
I have painful sores on my tongue that are making it hard to eat or talk,ulcers_on_tongue
The ulcers on my tongue are causing a lot of discomfort and pain and they're not going away,ulcers_on_tongue
I feel really self-conscious about the ulcers on my tongue and I'm worried they might be contagious,ulcers_on_tongue
The ulcers on my tongue are making it hard to brush my teeth or drink anything and I'm feeling really frustrated and uncomfortable,ulcers_on_tongue
I'm not sure what's causing the ulcers on my tongue but they're making me feel really anxious and worried,ulcers_on_tongue
My muscles are getting weaker and I'm having trouble doing simple tasks like lifting objects or walking up stairs,muscle_wasting
I've noticed a significant decrease in my muscle mass and it's making me feel really self-conscious,muscle_wasting
The muscle wasting is causing me to feel fatigued and tired all the time and I'm finding it hard to stay motivated,muscle_wasting
I've been losing muscle mass even though I haven't changed my exercise routine or diet and I'm not sure what's causing it,muscle_wasting
The muscle wasting is affecting my balance and coordination and I'm worried that it might lead to falls or injuries,muscle_wasting
I'm feeling really nauseous and keep vomiting even though I haven't eaten anything,vomiting
The vomiting is making me feel weak and dehydrated and I'm finding it hard to keep anything down,vomiting
I've been vomiting for a while now and it's starting to affect my appetite and energy levels,vomiting
The vomiting is accompanied by stomach pain and discomfort and I'm not sure what's causing it,vomiting
I'm feeling embarrassed about the vomiting and I'm worried that it might be a symptom of a more serious condition,vomiting
I'm experiencing a burning sensation when I pee and it's really uncomfortable,burning_micturition
The burning sensation is accompanied by frequent urination and a sense of urgency and it's interfering with my daily life,burning_micturition
I've noticed blood in my urine along with the burning sensation and I'm worried that it might be a sign of something serious,burning_micturition
The burning micturition is causing me to feel anxious and stressed and I'm finding it hard to focus on anything else,burning_micturition
I'm not sure what's causing the burning sensation but it's making me feel really uncomfortable and uneasy,burning_micturition
I feel really tired and drained all the time even after a full night's sleep,fatigue
The fatigue is affecting my ability to concentrate and focus and it's interfering with my work and daily activities,fatigue
I'm feeling weak and lethargic and I'm finding it hard to motivate myself to do anything,fatigue
The fatigue is accompanied by muscle weakness and soreness and I'm not sure what's causing it,fatigue
I'm feeling frustrated and overwhelmed by the constant fatigue and I'm not sure how to improve my energy levels,fatigue
I've noticed that I've been gaining weight rapidly even though I haven't changed my diet or exercise routine,weight_gain
The weight gain is causing me to feel self-conscious and uncomfortable in my own skin,weight_gain
I'm feeling bloated and sluggish and the weight gain is making it hard for me to move around comfortably,weight_gain
I'm worried that the weight gain might be a sign of a more serious health condition and I'm feeling anxious and stressed,weight_gain
I've tried to lose weight but nothing seems to be working and I'm feeling frustrated and helpless,weight_gain
I constantly feel on edge and worried about everything,anxiety
I have a racing heart and sweaty palms even when there's no real reason to be anxious,anxiety
I feel like I'm always waiting for something bad to happen and it's really affecting my daily life,anxiety
I'm struggling with intrusive thoughts and can't seem to shake them,anxiety
I have trouble sleeping because I'm constantly worrying about things,anxiety
My hands and feet are always freezing no matter how many layers I wear,cold_hands_and_feets
I have trouble staying warm even when I'm indoors,cold_hands_and_feets
My fingers and toes turn blue and feel numb when they get really cold,cold_hands_and_feets
I feel like I'm constantly rubbing my hands together to try to warm them up,cold_hands_and_feets
I'm starting to notice that my cold hands and feet are starting to affect my daily activities,cold_hands_and_feets
I feel like I'm on an emotional rollercoaster with my moods changing rapidly,mood_swings
I can go from feeling happy to feeling really down in a matter of minutes,mood_swings
I'm struggling to control my emotions and find myself lashing out at loved ones,mood_swings
I feel like my mood swings are impacting my relationships and my ability to function in daily life,mood_swings
I'm starting to feel like I'm not myself anymore and it's really scary,mood_swings
I've been losing weight rapidly without even trying,weight_loss
I'm experiencing a loss of appetite and struggle to eat anything,weight_loss
I'm losing weight so quickly that it's starting to worry me,weight_loss
I feel weak and tired all the time and I think it's because I'm not getting enough nutrients,weight_loss
My clothes are starting to feel loose and I'm starting to look gaunt,weight_loss
I have trouble sitting still and feel like I need to constantly move around,restlessness
I find it hard to relax and unwind even at night,restlessness
I feel like I have excess energy that I don't know how to release,restlessness
I find myself pacing around the house when I'm feeling restless,restlessness
I feel like I'm constantly fidgeting with my hands or feet,restlessness
I feel like I'm constantly tired and have no energy,lethargy
It's been difficult for me to get out of bed in the morning,lethargy
I find myself taking naps during the day because I'm so tired,lethargy
I don't feel like doing anything and lack motivation,lethargy
I feel like I'm in a daze and can't concentrate on anything,lethargy
I have white or red patches in my throat that are painful,patches_in_throat
I feel like there's something stuck in my throat,patches_in_throat
I have difficulty swallowing and it hurts to do so,patches_in_throat
I've noticed that my voice sounds hoarse or scratchy,patches_in_throat
My throat feels raw and irritated like I have a sore throat,patches_in_throat
I feel shaky and lightheaded when my blood sugar levels are low,irregular_sugar_level
I feel sluggish and tired when my blood sugar levels are high,irregular_sugar_level
I've noticed that I'm urinating more frequently than usual,irregular_sugar_level
I get headaches and feel dizzy when my blood sugar levels are off,irregular_sugar_level
I'm concerned about the long-term effects of having irregular sugar levels,irregular_sugar_level
I have been coughing for several days and it's getting worse,cough
Every time I cough I feel a sharp pain in my chest,cough
My cough is dry and persistent and it's been keeping me up at night,cough
I've been coughing up phlegm and it's thick and greenish-yellow in color,cough
My cough is accompanied by a sore throat and shortness of breath,cough
I've had a fever of 102Â°F for the past three days and it won't go down,high_fever
My body temperature is fluctuating between high and normal and I feel extremely weak,high_fever
My fever is causing me to have chills and excessive sweating,high_fever
I have a pounding headache and my muscles ache all over,high_fever
My throat is sore and I'm experiencing difficulty swallowing due to my fever,high_fever
My eyes appear to be sunk into their sockets and they look tired and dull,sunken_eyes
I've been feeling dehydrated and exhausted and my eyes are a telltale sign,sunken_eyes
My eye sockets are unusually deep and my skin is dry and flaky,sunken_eyes
I've been experiencing severe nausea and vomiting and my eyes seem to be affected,sunken_eyes
My sunken eyes are making me feel self-conscious and I don't know what to do,sunken_eyes
I've been sweating excessively even when I'm not doing anything physically demanding,sweating
My clothes are always drenched in sweat and it's embarrassing,sweating
I've been experiencing night sweats and they're disrupting my sleep,sweating
My sweating is accompanied by fever and chills and I feel like I'm going through cycles of hot and cold flashes,sweating
I've noticed a foul odor in my sweat and I'm worried it could be a sign of something serious,sweating
I've been feeling extremely thirsty and my mouth and throat feel dry,dehydration
My skin is dry and flaky and my lips are cracked and peeling,dehydration
I've noticed that I'm not urinating as often as I used to and my urine is dark yellow in color,dehydration
I've been experiencing headaches and dizziness and I feel weak and fatigued,dehydration
My dehydration is making it difficult for me to concentrate and I feel like I'm in a fog,dehydration
I've been experiencing bloating and discomfort in my stomach after eating,indigestion
I feel like my food is not digesting properly and I'm experiencing heartburn and acid reflux,indigestion
I've been burping excessively and my stomach feels full and uncomfortable,indigestion
My indigestion is causing me to have nausea and vomiting and I've lost my appetite,indigestion
My stools are loose and watery and I've been experiencing diarrhea,indigestion
I've been experiencing this dull throbbing headache that won't go away no matter what I do,headache
My headaches seem to be getting worse and I've noticed they're often accompanied by sensitivity to light and sound,headache
Sometimes my headaches are so intense that I feel nauseous and dizzy and have trouble concentrating,headache
I've been experiencing these sharp shooting pains in my head that come and go throughout the day,headache
My headaches tend to be located in the front or back of my head and often get worse when I'm stressed or anxious,headache
I've noticed that my skin has a yellowish tint to it especially on my face and the whites of my eyes,yellowish_skin
I've been feeling really tired and run down lately and my skin has taken on a yellowish hue that's making me worry,yellowish_skin
My skin used to be a healthy pinkish color but now it's looking more yellowish and sallow,yellowish_skin
I've been experiencing some pain in my upper abdomen and now I've noticed that my skin is starting to look yellowish as well,yellowish_skin
I'm not sure if it's just my imagination but I feel like my skin has a yellowish cast to it especially when I'm under fluorescent lights,yellowish_skin
I've noticed that my urine is darker than usual almost brownish in color,dark_urine
My urine has been dark and cloudy for a few days now and I'm worried it might be a sign of something serious,dark_urine
I've been feeling really dehydrated lately and now my urine is looking really dark and concentrated,dark_urine
I've never seen my urine this dark before and I'm wondering if it could be related to the medications I'm taking,dark_urine
I've been experiencing some pain in my side and now I've noticed that my urine is coming out dark and discolored,dark_urine
I've been feeling really nauseous lately especially in the morning and after meals,nausea
Sometimes my nausea is so intense that I feel like I might vomit but nothing comes up,nausea
I've been experiencing this constant feeling of queasiness in my stomach even when I haven't eaten anything,nausea
My nausea seems to be getting worse instead of better and now I'm starting to lose my appetite too,nausea
I'm not sure what's causing it but I've been feeling really nauseous and dizzy especially when I stand up too quickly,nausea
I used to love food but lately I have no interest in eating and I have to force myself to have a few bites,loss_of_appetite
My appetite has been steadily decreasing over the past few weeks and now I barely eat anything at all,loss_of_appetite
I don't feel hungry anymore and when I do eat I feel full really quickly and can't finish my meal,loss_of_appetite
My doctor told me that my loss of appetite could be related to my depression or anxiety but I'm not sure,loss_of_appetite
I'm worried about losing too much weight because of my lack of appetite but nothing seems to taste good anymore,loss_of_appetite
I've been experiencing a dull ache behind my eyes that won't go away even with pain relievers,pain_behind_the_eyes
Whenever I move my eyes it feels like there's a sharp pain shooting through the back of my head,pain_behind_the_eyes
I've noticed that my eyes feel strained and sore especially after looking at screens for long periods of time,pain_behind_the_eyes
The pain behind my eyes gets worse when I'm exposed to bright lights or loud noises,pain_behind_the_eyes
I've been experiencing blurred vision and sensitivity to light along with the pain behind my eyes,pain_behind_the_eyes
I've been experiencing a sharp pain in my lower back that makes it hard to stand up or sit down,back_pain
My back has been feeling stiff and achy especially after sitting or lying down for long periods of time,back_pain
I've noticed that my back pain gets worse when I'm carrying heavy objects or bending over,back_pain
The pain in my back is constant and radiates down my legs making it hard to walk or stand for long periods of time,back_pain
I've been experiencing numbness and tingling in my back along with the pain,back_pain
I've been having trouble passing stools and it's been several days since I last had a bowel movement,constipation
Whenever I do manage to pass stools it's very painful and uncomfortable,constipation
I feel bloated and full even though I haven't eaten much and my stomach feels hard to the touch,constipation
I've been experiencing cramps and abdominal pain along with the constipation,constipation
I've noticed that my stool is dry and hard to pass and sometimes there's blood in it,constipation
I've been experiencing a sharp pain in my abdomen that comes and goes and it's been getting worse over time,abdominal_pain
My stomach feels bloated and tender to the touch and I've been experiencing nausea and vomiting as well,abdominal_pain
The pain in my abdomen is worse after eating certain foods or drinking alcohol,abdominal_pain
I've been experiencing diarrhea and constipation along with the abdominal pain,abdominal_pain
I've noticed that my urine is dark and there's blood in it along with the abdominal pain,abdominal_pain
I've been having very frequent bowel movements that are loose and watery and it's been going on for several days now,diarrhoea
Whenever I eat anything my stomach cramps up and I need to rush to the bathroom,diarrhoea
I feel weak and dehydrated from all the fluids I've lost due to the diarrhea,diarrhoea
I've noticed that there's blood or mucus in my stool along with the diarrhea,diarrhoea
I've been experiencing nausea and vomiting along with the diarrhea,diarrhoea
I've been feeling feverish and my temperature has been slightly elevated but I don't have any other symptoms,mild_fever
My body feels achy and I've been feeling tired and fatigued since the fever started,mild_fever
I've been experiencing chills and shivers along with the mild fever,mild_fever
I've noticed that my throat is sore and my nose is congested along with the mild fever,mild_fever
I've been taking over-the-counter medication to bring the fever down but it keeps coming back,mild_fever
My urine has been a dark yellow color for the past few days and I'm not sure why,yellow_urine
I've noticed my urine is consistently yellow even when I drink plenty of water,yellow_urine
I'm worried about my yellow urine especially since I don't have any other symptoms,yellow_urine
I've been feeling dehydrated and my urine has been yellow and strong-smelling,yellow_urine
My doctor told me that yellow urine could be a sign of dehydration or a urinary tract infection,yellow_urine
I've noticed a yellowish tint to the whites of my eyes and I'm not sure what it means,yellowing_of_eyes
My eyes have been looking yellow and it's making me really self-conscious,yellowing_of_eyes
My doctor told me that my yellow eyes could be related to liver problems or anemia,yellowing_of_eyes
I've been feeling really fatigued and my yellow eyes are worrying me,yellowing_of_eyes
I didn't notice my yellow eyes at first but my partner pointed it out and I'm concerned now,yellowing_of_eyes
I'm feeling really sick and my doctor told me that I might be experiencing acute liver failure,acute_liver_failure
I've been experiencing nausea abdominal pain and yellowing of my eyes and skin which my doctor said could be signs of liver failure,acute_liver_failure
My liver function tests came back really abnormal and my doctor is concerned it could lead to acute liver failure,acute_liver_failure
I've been feeling really tired and confused lately and my doctor thinks it might be related to my liver problems,acute_liver_failure
I'm scared about the possibility of acute liver failure and what it could mean for my health,acute_liver_failure
I've been feeling really bloated and my ankles and legs are swollen which I think might be related to fluid overload,fluid_overload
My doctor told me that my shortness of breath and fast heartbeat could be signs of fluid overload in my lungs,fluid_overload
I've been retaining a lot of water and my doctor is concerned about fluid overload in my body,fluid_overload
I'm having trouble sleeping and my doctor suspects that fluid overload could be causing my symptoms,fluid_overload
I've been feeling really heavy and uncomfortable and I think it might be due to fluid overload,fluid_overload
My stomach has been really swollen and uncomfortable lately even though I haven't changed my diet or exercise routine,swelling_of_stomach
I'm having trouble buttoning my pants because of the swelling in my stomach,swelling_of_stomach
My doctor told me that my stomach swelling could be due to digestive issues or an underlying condition,swelling_of_stomach
I'm feeling really self-conscious about my swollen stomach and it's affecting my daily life,swelling_of_stomach
I've been experiencing pain and discomfort in my swollen stomach and I'm worried it could be something serious,swelling_of_stomach
I've noticed some swollen and tender lumps in my neck and armpits which my doctor said could be swollen lymph nodes,swelled_lymph_nodes
My doctor is concerned about my swollen lymph nodes and ordered some tests to figure out the cause,swelled_lymph_nodes
I've been feeling really fatigued and achy lately which might be related to my swollen lymph nodes,swelled_lymph_nodes
I'm worried that my swollen lymph nodes could be a sign of cancer or a serious infection,swelled_lymph_nodes
My swollen lymph nodes are making it difficult to move my neck and arms and I'm concerned about the long-term effects,swelled_lymph_nodes
I've been feeling really tired and run down lately even though I'm getting enough sleep,malaise
I don't have any specific symptoms but just an overall feeling of unease and discomfort,malaise
I've been having trouble getting motivated to do things I usually enjoy and I'm feeling really apathetic,malaise
I'm experiencing general body aches and pains and just feel overall unwell,malaise
I have a sense of fatigue that doesn't seem to go away no matter how much rest I get,malaise
I've been having trouble seeing clearly and things look fuzzy or out of focus,blurred_and_distorted_vision
My vision seems to be distorted like things are moving or wavy even when they're not,blurred_and_distorted_vision
I'm experiencing double vision and things look like they're overlapping or duplicated,blurred_and_distorted_vision
My vision seems to be getting worse over time and I'm having trouble reading or watching TV,blurred_and_distorted_vision
My eyes feel strained and tired and I'm having trouble focusing on things for extended periods of time,blurred_and_distorted_vision
I'm coughing up a lot of mucus that's thick and sticky and sometimes it's hard to breathe,phlegm
I have a constant feeling of something stuck in my throat and I need to clear my throat frequently,phlegm
I'm having trouble sleeping because I keep coughing up phlegm and it's really uncomfortable,phlegm
My chest feels congested and heavy and I'm having trouble taking deep breaths,phlegm
I've been coughing up yellow or green phlegm and I'm worried it might be a sign of infection,phlegm
My throat feels scratchy and sore like I have a lump in my throat that won't go away,throat_irritation
I'm experiencing a burning or stinging sensation in my throat especially when I swallow,throat_irritation
My throat feels dry and itchy and I'm having trouble speaking or singing without discomfort,throat_irritation
I'm experiencing pain in my throat that radiates to my ears and it's really uncomfortable,throat_irritation
I have a persistent cough that's accompanied by a tickling or itching sensation in my throat,throat_irritation
My eyes are really red and bloodshot and they feel itchy and uncomfortable,redness_of_eyes
I'm experiencing a burning or stinging sensation in my eyes and they're really sensitive to light,redness_of_eyes
My eyes feel dry and gritty and I'm having trouble focusing on things without rubbing them,redness_of_eyes
My eyes are tearing up a lot and they feel like there's something in them even when there isn't,redness_of_eyes
I have a headache and my eyes are really sore and I'm experiencing a lot of eye strain from looking at screens,redness_of_eyes
I feel a constant pressure in my forehead cheeks and nose,sinus_pressure
My sinuses feel full and congested and I can't breathe properly,sinus_pressure
I feel a headache and pain around my eyes and nose,sinus_pressure
I feel like my head is being squeezed from the inside,sinus_pressure
My sinuses feel tender and sensitive to the touch,sinus_pressure
I've been blowing my nose a lot lately and it seems like there's always a lot of clear discharge,runny_nose
My nose is really runny and it's making it hard to breathe through it,runny_nose
I keep having to sniffle and wipe my nose even when I'm not feeling particularly sick,runny_nose
I've been sneezing a lot and my nose feels really itchy and congested,runny_nose
It seems like every time I go outside my nose starts running uncontrollably,runny_nose
My nose feels really stuffy and it's hard to breathe through it,congestion
I feel like there's a lot of pressure in my sinuses and my head feels kind of foggy,congestion
I keep having to clear my throat and cough to try to get rid of the congestion,congestion
I've been feeling really congested and my ears feel clogged too,congestion
It's hard to sleep because of the congestion and I wake up feeling really tired and groggy,congestion
I've been having this sharp pain in my chest that comes and goes and it's really worrying me,chest_pain
My chest feels tight and uncomfortable and sometimes it's hard to take a deep breath,chest_pain
I feel a burning sensation in my chest especially after I eat or when I'm lying down,chest_pain
The pain in my chest seems to radiate to my arm and shoulder too,chest_pain
I've been feeling short of breath and my chest feels really heavy,chest_pain
I've been feeling really weak and unsteady on my feet lately like I might fall over,weakness_in_limbs
My arms and legs feel heavy and it's hard to lift them,weakness_in_limbs
I'm having trouble with everyday tasks that used to be easy like carrying groceries or climbing stairs,weakness_in_limbs
I feel like I've lost a lot of muscle mass and my limbs just don't have the same strength as they used to,weakness_in_limbs
Sometimes my limbs feel tingly or numb and it's hard to tell where they are in space,weakness_in_limbs
My heart feels like it's racing even when I'm at rest,fast_heart_rate
I've been experiencing palpitations and my heart feels like it's skipping beats,fast_heart_rate
I feel like my heart is pounding in my chest and I can't catch my breath,fast_heart_rate
My heart rate is really high even when I'm not doing anything physically exerting,fast_heart_rate
I feel like my heart is working overtime and it's making me feel really anxious,fast_heart_rate
I've been experiencing sharp pain and discomfort when I have a bowel movement,pain_during_bowel_movements
I feel like there's a lot of pressure and burning sensation in my rectum when I go to the bathroom,pain_during_bowel_movements
I've been noticing some blood in my stool and it's really painful to pass,pain_during_bowel_movements
My bowel movements have been really irregular and painful and it's affecting my daily life,pain_during_bowel_movements
I feel like I have to strain a lot to have a bowel movement and it's causing a lot of pain,pain_during_bowel_movements
I'm experiencing pain and discomfort in my anal area when I sit or go to the bathroom,pain_in_anal_region
I have a sharp stabbing pain in my anus that's been getting worse over the past few days,pain_in_anal_region
There's a dull ache in my rectum that won't go away even after taking pain medication,pain_in_anal_region
I feel a burning sensation in my anus that makes it uncomfortable to move or sit for extended periods of time,pain_in_anal_region
I've noticed some swelling and tenderness around my anus which is making it painful to have bowel movements,pain_in_anal_region
I'm passing stools that have blood in them and I'm not sure why,bloody_stool
I've noticed that my stool is black and tarry and there are streaks of blood in it,bloody_stool
There's bright red blood on the toilet paper after I wipe and I'm worried it might be a serious problem,bloody_stool
I've been experiencing abdominal pain and cramping along with bloody diarrhea,bloody_stool
I'm feeling weak and dizzy and I've been passing stools that are mostly blood,bloody_stool
My anus is really itchy and uncomfortable and I can't seem to relieve the itching,irritation_in_anus
I feel like there's something stuck in my anus that's causing irritation and discomfort,irritation_in_anus
I've noticed some redness and swelling around my anus and it's making it painful to sit or move,irritation_in_anus
I'm experiencing a burning or stinging sensation in my anus especially during bowel movements,irritation_in_anus
I've been scratching my anus a lot and now it's become sore and tender,irritation_in_anus
I woke up with a stiff neck that's been bothering me all day,neck_pain
My neck feels really tight and sore and it's difficult to turn my head,neck_pain
I think I might have pulled a muscle in my neck while exercising because it's been hurting for a few days now,neck_pain
I've been experiencing headaches along with the neck pain and it's making it hard to concentrate,neck_pain
I've noticed a clicking or popping sound when I turn my head and it's accompanied by pain and discomfort,neck_pain
I feel like the room is spinning around me and I'm having trouble keeping my balance,dizziness
I've been experiencing lightheadedness and feeling like I might faint or pass out,dizziness
My vision is blurry and I'm having trouble focusing and it's making me feel dizzy and disoriented,dizziness
I feel dizzy and nauseous when I stand up or move around too quickly,dizziness
I've been feeling dizzy and off-balance for a few days and it's starting to worry me,dizziness
I've been experiencing sudden and painful muscle cramps especially in my legs,cramps
My cramps often happen at night and wake me up and I have to stretch or massage the affected area to get relief,cramps
I've noticed that my cramps are worse after exercise or when I'm dehydrated,cramps
My cramps feel like a tightening or knotting sensation and they can last for several minutes at a time,cramps
I've tried taking over-the-counter remedies for cramps but they don't seem to help much,cramps
I've been noticing more bruises on my skin lately even from minor bumps or scrapes,bruising
My bruises are taking longer than usual to heal and often turn yellow or green before fading,bruising
I haven't had any major injuries so I'm not sure why I'm bruising so easily,bruising
My bruises are often tender to the touch and can be quite large and dark in color,bruising
I'm worried that my bruising might be a sign of a more serious underlying condition,bruising
I've been struggling with my weight for a long time and I feel like I can't lose the extra pounds no matter what I try,obesity
I've noticed that I'm more tired and have less energy since I gained weight,obesity
My clothes are feeling tighter and I'm having trouble finding clothes that fit comfortably,obesity
I'm worried about my risk of developing health problems like diabetes or heart disease because of my weight,obesity
I've tried different diets and exercise plans but nothing seems to work in the long term,obesity
My legs feel heavy and swollen especially at the end of the day or after prolonged sitting or standing,swollen_legs
I've noticed that my ankles are often puffy and that my shoes feel tighter than usual,swollen_legs
My skin feels stretched and tight over my legs and sometimes there's visible redness or discoloration,swollen_legs
My swollen legs make it hard to walk or exercise and I feel more tired and achy than usual,swollen_legs
I'm worried that my swollen legs might be a sign of a circulation or heart problem,swollen_legs
I've noticed that some of my veins or blood vessels are bulging and swollen especially in my legs or feet,swollen_blood_vessels
My swollen blood vessels sometimes feel tender or painful to the touch,swollen_blood_vessels
I'm worried that my swollen blood vessels might be a sign of a more serious condition like deep vein thrombosis or varicose veins,swollen_blood_vessels
My swollen blood vessels can be unsightly and make me self-conscious about wearing certain clothes or shoes,swollen_blood_vessels
